,ds,yhat,yhat_lower,yhat_upper
0,2024-06-30,14326.075752741686,14326.075734188686,14326.075770847625
1,2024-09-30,14288.02557682389,14288.025557850151,14288.02559357103
2,2024-12-31,15443.20741056265,15443.207392075103,15443.207428543392
3,2025-03-31,15278.011792299549,15278.011773116863,15278.011809734377
4,2025-06-30,15516.073106243188,15516.073088070605,15516.073125053728
5,2025-09-30,-9521.792702680887,-9521.792735045858,-9521.792666324618
6,2025-12-31,3537.4756377962694,3537.475551693229,3537.4757388362345
7,2026-03-31,8930.664761016644,8930.664597641111,8930.664946018702
8,2026-06-30,17076.64608574191,17076.645825731375,17076.64637082253
9,2026-09-30,-33462.074055231715,-33462.07443311116,-33462.07364415094
10,2026-12-31,-8295.108140921711,-8295.108636203255,-8295.10760258956
11,2027-03-31,2446.159743635486,2446.1591360315315,2446.160429807641
12,2027-06-30,19001.869848431976,19001.869086235325,19001.870702088647
